Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
SOL,2021-11-28,194.8929183783,192.5821552443,199.6071633784,190.9136558939
SOL,2021-11-29,197.3751027285,193.0175669146,202.2326357336,181.4900493731
SOL,2021-11-30,206.154378507,200.9034917551,212.9425669003,199.9345979243
SOL,2021-12-01,211.6198476045,204.2410965846,218.3634099449,199.7016434287
SOL,2021-12-02,223.7856874527,208.6868722679,231.8805152215,208.0662410219
SOL,2021-12-03,238.0232842029,229.9366087715,243.1970458463,220.2444014684
SOL,2021-12-04,214.2539907381,233.8204367516,239.4688238762,206.8222229873
SOL,2021-12-05,205.6585739372,211.8749509298,212.7808575288,171.3566390303
SOL,2021-12-06,196.6076980124,201.1501498345,204.8110815048,192.7006561863
SOL,2021-12-07,197.0942665508,189.225132845,197.7887561804,176.4997779499
SOL,2021-12-08,190.5315971974,193.8454812645,204.1535532692,189.9254377787
SOL,2021-12-09,192.8562729733,190.2868933875,196.3934208146,183.9706054422
SOL,2021-12-10,181.6139694318,194.7554760482,196.7463066405,178.8866952148
SOL,2021-12-11,172.5216635624,181.3483612348,184.6054521709,169.9625716531
SOL,2021-12-12,170.9725090078,167.6913455463,173.915177558,161.5958054869
SOL,2021-12-13,173.4067387617,172.1599525393,176.9240992037,167.8668676677
SOL,2021-12-14,156.9796276546,172.9348038717,172.9684656009,148.2632640308
SOL,2021-12-15,159.3115819384,155.2387724851,163.2880856507,149.846557002
SOL,2021-12-16,176.9276221274,161.345215346,181.4650874254,157.07916656
SOL,2021-12-17,182.031920705,178.5546945456,189.0480542296,174.5694810915
SOL,2021-12-18,174.5636289633,176.9067641328,182.4630709213,168.7101908846
SOL,2021-12-19,183.4955630071,175.5757634307,184.3252239083,171.1167751766
SOL,2021-12-20,181.6030629278,182.9037675517,188.4621741756,178.5316560842
SOL,2021-12-21,173.7988878105,179.9859099158,181.2380191648,168.4167493672
SOL,2021-12-22,180.4700577965,174.9173871022,182.5880349452,170.2902931413
SOL,2021-12-23,181.0220438079,179.6978891125,187.5566945244,177.5122783959
SOL,2021-12-24,190.5576722672,178.399921319,192.8807541069,175.7013675962
SOL,2021-12-25,191.094865047,190.1286271429,197.5402441892,184.9675551573
SOL,2021-12-26,191.8305386303,190.5130707385,195.2524154378,189.3543650381
SOL,2021-12-27,199.6168312379,193.1979399849,200.7843713947,190.4531205986
SOL,2021-12-28,197.097833312,197.9511975079,204.854976836,195.0015151071
SOL,2021-12-29,177.7048827398,195.7376388807,195.7376388807,176.8294038926
SOL,2021-12-30,174.4727931382,177.2545075526,180.5760001809,170.7294477025
SOL,2021-12-31,171.2800679822,170.6743212669,175.7031120646,168.5546306546
SOL,2022-01-01,169.9798039258,172.5527833158,177.5783067211,167.8218012999
SOL,2022-01-02,177.4108335839,169.9780400368,179.2791951791,169.9717615531
SOL,2022-01-03,176.6384193026,179.2025282407,179.5313092876,174.462009666
SOL,2022-01-04,170.2581277491,176.4128120631,176.5167848066,167.1862292544
