Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
YFI,2021-08-30,37956.2766614929,38068.5896482837,38684.513657724,37022.0481691038
YFI,2021-08-31,36841.4390605914,37501.7918163535,37698.7344420438,36058.7538821435
YFI,2021-09-01,37880.7894832702,36272.1904878856,38771.5492957457,35720.0789649496
YFI,2021-09-02,39686.490149289,38337.0672519506,40460.9083310501,37832.0993141556
YFI,2021-09-03,39028.5834880782,39992.3582428697,40297.1849144139,38586.9921513647
YFI,2021-09-04,40123.7807822685,38684.2583780469,40981.5449145214,37744.4277326308
YFI,2021-09-05,41763.5184023842,40433.5796910105,43305.2197756193,39777.2903365014
YFI,2021-09-06,42909.8092423961,41492.5682569636,43858.5104031917,40588.0840777992
YFI,2021-09-07,42366.3278744852,42923.362314115,43553.8349990692,41500.6095136761
YFI,2021-09-08,34718.6726510083,42212.6946680462,42729.8478722158,31029.2218412992
YFI,2021-09-09,35103.2059462366,34566.3882266544,35877.2722711762,32234.9909084633
YFI,2021-09-10,34630.4601879186,34675.8657942809,35695.1858124526,33503.0525582774
YFI,2021-09-11,32566.7203767623,34343.6755528274,35436.9019699495,32260.0998771392
YFI,2021-09-12,33210.9962890556,32808.1586730722,33994.1020312748,32588.7394074828
YFI,2021-09-13,32944.1610101833,32971.0256540525,34341.8580668002,32418.0055259134
YFI,2021-09-14,32825.4280647141,33276.9772992615,33606.5144987899,31124.9931545265
YFI,2021-09-15,35366.9988170084,32761.9031067915,35381.5373484516,32562.9052380677
YFI,2021-09-16,36531.7640877981,35718.9713911128,37972.7407514799,35195.532082249
YFI,2021-09-17,34648.1158459671,36527.3247212303,36711.4821852097,34310.1851039114
YFI,2021-09-18,33355.2456057791,34783.4747329845,35085.8668479049,32875.9136457476
YFI,2021-09-19,33700.3814569439,33237.6382399179,34419.4686614554,32849.2168980371
YFI,2021-09-20,32730.9348123929,33921.0028734455,33975.3617493147,32564.9833630156
YFI,2021-09-21,29985.6529648731,33022.1750363742,33058.5603030142,28352.2121485071
YFI,2021-09-22,27518.5272615514,29511.4652325706,30379.3650731287,26547.5782065491
YFI,2021-09-23,30395.2175369214,27366.7778734648,30613.0548681715,27082.135405712
YFI,2021-09-24,31032.3018477316,30513.7365646883,31429.1454707749,30000.2282775023
YFI,2021-09-25,29251.2869860371,31288.2964778917,31380.552836119,27137.612951494
YFI,2021-09-26,30329.205202947,29285.330820357,30501.0114486382,28603.411422515
YFI,2021-09-27,30988.3625532975,30318.1605592315,31008.8074045215,27771.2748549249
YFI,2021-09-28,29501.3428431122,30420.4336663345,31583.1038932855,29013.7779840545
YFI,2021-09-29,28752.7780405089,28641.2781783804,29973.6301506508,28185.3019552497
YFI,2021-09-30,28425.8309252935,28250.6855989367,29578.5908998881,27957.8370761087
YFI,2021-10-01,29118.4043706324,28572.2230762141,29579.9346649323,28431.74131435
YFI,2021-10-02,31107.0691408119,29207.301576847,31663.6020307011,28855.9291246134
YFI,2021-10-03,32508.7309128694,31660.7615877643,32721.0667133437,31037.0807030674
YFI,2021-10-04,31541.8593860909,31902.4591981865,32233.486902821,31200.1412458074
YFI,2021-10-05,30598.0255155263,31355.3543742231,31375.4101430204,29716.0740353616
YFI,2021-10-06,32131.4924194053,30786.545794606,32230.7048308328,30115.2587312556
YFI,2021-10-07,32258.1382835493,31879.0594738603,32781.0018185146,29889.2205652842
YFI,2021-10-08,32334.9879257091,32044.2371610537,32643.8082262137,30918.2651450427
YFI,2021-10-09,34980.7914526295,32151.0451228777,37407.8025841637,32067.949350028
YFI,2021-10-10,33968.5394283757,34588.4551451336,35262.5318130251,33785.6282347799
YFI,2021-10-11,32954.378361621,33985.8440734217,34886.1054000272,32869.996546097
YFI,2021-10-12,35154.1521852549,32596.2541969352,35530.5716961501,32141.4955838895
YFI,2021-10-13,34767.5099564204,35516.3552240468,35516.3552240468,33260.9300253559
YFI,2021-10-14,34464.5233924314,34831.8843405885,35660.86059545,34118.1853206675
YFI,2021-10-15,35071.0594901073,34607.9871618532,36087.337853383,34460.4489622243
YFI,2021-10-16,35968.0035306487,35405.9076953296,36614.5089677218,34659.4245021184
YFI,2021-10-17,35127.0815798347,35989.7335648316,36326.0402527283,34985.5198289144
YFI,2021-10-18,34382.1231125164,35111.6495407127,35564.8261186873,33333.7089282846
YFI,2021-10-19,33690.2701553223,34779.7329021523,34982.7040630391,33316.7059881044
YFI,2021-10-20,34418.8316381713,33849.4837693234,34498.7402467393,33620.0429827545
YFI,2021-10-21,35909.2406152172,34749.3394605995,36182.0943080823,34232.1972770278
YFI,2021-10-22,34520.0969932875,36052.342740471,36595.1801040299,34223.3337481519
YFI,2021-10-23,34577.0667165183,34303.6164937627,34845.7372124421,33525.3765084004
YFI,2021-10-24,35594.9603478019,34593.40712484,35679.3845878145,34421.4701760834
YFI,2021-10-25,34460.7610797115,35796.023170391,35896.298344302,33994.5545635256
YFI,2021-10-26,34797.6867727387,34520.8039137169,35081.7953006422,34373.8732246592
YFI,2021-10-27,37081.8827518078,34786.2416029547,38820.1262906265,34733.7566600584
YFI,2021-10-28,34264.4770485661,37645.6700198987,39541.4020882507,33860.9343579169
YFI,2021-10-29,34231.9478869622,33950.461665237,35088.9743993777,33396.517763119
YFI,2021-10-30,34775.1970838713,34195.0171464534,35508.5640018578,34083.134469903
YFI,2021-10-31,33650.2658571764,35007.1924121404,35047.7303091188,33527.9376364025
YFI,2021-11-01,34079.2171904566,33779.9756676025,34315.1191611329,33168.7707978369
YFI,2021-11-02,34914.7027346893,34125.1014175621,35024.8002064399,33285.59762394
YFI,2021-11-04,34563.40531054,35194.681188888,35449.8120933308,33782.3718100543
YFI,2021-11-05,33818.8454604915,34364.5272618068,34417.6042724324,33352.1931650888
YFI,2021-11-07,33832.5325882454,33645.3037789701,33902.0358094784,32431.8161527868
YFI,2021-11-08,35286.7384782289,33903.1804405274,35286.7384782289,33512.4515542487
YFI,2021-11-09,35667.3566487153,35553.1784401477,36367.5395202437,35137.3600917797
YFI,2021-11-10,34899.0746874345,35650.4457922193,35709.4159209311,34498.3202314906
YFI,2021-11-11,32930.7406345865,34573.4031547673,35807.4210020331,32506.9365342351
YFI,2021-11-12,33935.4992227392,32999.1706122355,34947.6347109237,32575.8274400359
YFI,2021-11-13,32351.1889008323,33741.3383111557,35105.4092185861,31778.9415881732
YFI,2021-11-14,32758.2140747181,32254.2741718186,33078.1497930631,32171.5461676735
YFI,2021-11-15,33438.4771034362,32741.3680250497,34517.8327910194,32738.956289164
YFI,2021-11-16,33611.3987120353,33582.8534617749,35407.1774473207,33454.0150203135
YFI,2021-11-17,31171.4841307115,33445.1976695579,33447.7857950082,29880.6307882863
YFI,2021-11-18,31033.9115135709,30693.3935518155,31221.6824637331,29834.581873508
YFI,2021-11-19,32569.7635298138,31202.9662961986,35116.1853996975,30509.1805678028
YFI,2021-11-20,31747.5127201517,32479.9988730324,33020.6898185413,31072.4624583648
YFI,2021-11-21,32039.5982859791,31832.6429143457,32333.3435631006,30866.662958049
YFI,2021-11-22,31791.6714302886,32022.6809876671,32711.2891551144,31346.3155006051
YFI,2021-11-23,31354.4117603436,31629.4594496332,32624.1547996815,30518.1305818288
YFI,2021-11-24,31687.5422565001,31194.6721262487,32179.4706931294,30989.1142691853
YFI,2021-11-25,31198.0128078824,31639.4398522479,31807.8282495995,30442.7451954236
YFI,2021-11-26,31985.0759403828,31119.6216838081,32093.9943377505,30928.9455688282
YFI,2021-11-27,29304.5150149676,32077.2610356099,32243.2917238035,28537.392522559
YFI,2021-11-28,29350.9168612336,28809.8853672472,29727.5120670339,28695.1939543333
YFI,2021-11-29,29630.0665003528,29235.4870502478,29849.4465668706,27892.0349128847
YFI,2021-11-30,30127.5465866123,30027.8568069536,30406.6134858381,29499.2244845615
YFI,2021-12-01,29659.1758113921,30193.6316022683,30501.7533134277,29217.8935528549
YFI,2021-12-02,28772.0009106752,29620.5178922956,30171.2206020804,28485.0509693605
YFI,2021-12-03,29061.1981924982,28953.9920833573,29406.4472609001,28113.5463427678
YFI,2021-12-04,27546.8228241857,28854.1189168204,29433.3551809948,26861.0016715585
YFI,2021-12-05,24563.7850846688,27511.5843522253,27619.5956394952,18175.7682692697
YFI,2021-12-06,25138,24725.3964173933,25138,24155.4956070771
YFI,2021-12-07,23589.5920301284,23239.9105288557,23992.2674290326,21808.8632654683
YFI,2021-12-08,22105.8170883996,23870.6368839201,24576.1345099969,21970.2711853702
YFI,2021-12-09,22686.5005639525,22074.1271062724,22704.2284317377,21461.2813588105
YFI,2021-12-10,21070.1745621251,23136.3552225701,23934.7739734512,20784.5271079891
YFI,2021-12-11,20574.2318276068,20980.072870194,21580.883817577,20215.406350519
YFI,2021-12-12,21529.0018908559,20079.0050815356,23265.937630197,19799.3427673988
YFI,2021-12-13,21817.6394402055,21545.4645518093,22540.9828495035,20893.8957743429
YFI,2021-12-14,19766.8872622898,21724.3236561701,21852.944219061,19053.896778751
